Draw Date,Winning Numbers,Mega Ball,Multiplier
2022-05-13,11 41 43 44 65,13,3
2022-05-10,15 19 20 61 70,06,3
2022-05-06,16 21 33 52 70,10,2
2022-05-03,15 19 27 35 57,17,2
2022-04-29,09 11 34 49 66,15,2
2022-04-26,05 07 19 46 69,02,4
2022-04-22,07 28 29 58 59,10,3
2022-04-19,02 09 33 47 53,24,3
2022-04-15,04 17 20 46 64,23,4
2022-04-12,02 08 14 20 31,17,2
2022-04-08,08 11 29 32 40,02,3
2022-04-05,22 43 60 63 64,18,2
2022-04-01,26 42 47 48 63,21,5
2022-03-29,07 22 36 45 47,12,2
2022-03-25,03 13 42 51 58,17,2
2022-03-22,08 15 21 27 61,08,3
2022-03-18,02 06 25 40 45,05,4
2022-03-15,09 14 28 59 60,24,5
2022-03-11,24 28 39 44 66,25,3
2022-03-08,07 18 38 58 64,24,3
2022-03-04,11 19 28 46 47,05,4
2022-03-01,18 22 38 39 50,18,2
2022-02-25,15 31 40 56 66,04,3
2022-02-22,06 17 22 57 62,03,3
2022-02-18,06 11 50 63 68,17,4
2022-02-15,02 04 15 21 63,19,3
2022-02-11,11 16 23 24 30,24,3
2022-02-08,01 17 20 52 54,02,3
2022-02-04,07 16 34 44 61,24,4
2022-02-01,11 24 38 62 66,01,4
2022-01-28,03 16 25 44 55,13,3
2022-01-25,03 12 38 53 58,13,3
2022-01-21,38 45 46 55 67,18,2
2022-01-18,04 19 39 42 52,09,4
2022-01-14,05 08 13 22 48,25,2
2022-01-11,02 03 19 52 58,16,2
2022-01-07,07 29 43 56 57,06,3
2022-01-04,04 06 16 21 22,01,3
2021-12-31,02 05 30 46 61,08,3
2021-12-28,03 05 08 31 38,04,3
2021-12-24,16 17 25 36 37,16,2
2021-12-21,25 31 58 64 67,24,3
2021-12-17,21 32 38 48 62,10,3
2021-12-14,33 35 44 55 69,20,3
2021-12-10,23 25 40 42 60,08,2
2021-12-07,01 07 40 43 68,01,2
2021-12-03,22 45 48 58 61,13,5
2021-11-30,07 08 26 30 39,17,2
2021-11-26,07 27 37 42 59,02,2
2021-11-23,07 24 54 57 58,06,3
2021-11-19,05 23 52 53 59,18,5
2021-11-16,06 22 44 53 65,03,3
2021-11-12,30 32 42 46 48,15,2
2021-11-09,09 14 16 26 49,14,3
2021-11-05,10 15 20 66 68,18,2
2021-11-02,05 10 26 58 65,09,2
2021-10-29,15 26 28 35 45,04,3
2021-10-26,06 14 19 56 62,09,4
2021-10-22,09 14 26 29 66,22,3
2021-10-19,03 12 13 19 52,01,3
2021-10-15,03 20 31 34 65,18,3
2021-10-12,21 26 56 61 65,04,3
2021-10-08,21 24 36 40 70,22,5
2021-10-05,07 11 18 30 36,04,3
2021-10-01,21 25 36 62 63,06,2
2021-09-28,18 30 43 68 69,22,4
2021-09-24,17 21 27 43 56,15,3
2021-09-21,36 41 45 51 56,13,3
2021-09-17,17 32 40 59 61,18,3
2021-09-14,04 13 19 63 64,16,2
2021-09-10,20 32 35 47 64,18,2
2021-09-07,15 17 25 32 53,12,3
2021-09-03,07 10 12 61 65,03,2
2021-08-31,08 14 31 58 68,15,3
2021-08-27,01 10 44 47 56,23,3
2021-08-24,17 18 26 52 67,19,2
2021-08-20,41 43 51 57 70,01,2
2021-08-17,03 06 16 38 56,24,3
2021-08-13,17 21 35 40 53,11,2
2021-08-10,29 45 50 59 62,12,2
2021-08-06,09 18 40 46 69,09,2
2021-08-03,01 09 17 27 34,24,2
2021-07-30,19 26 31 52 68,10,3
2021-07-27,02 35 36 54 64,11,3
2021-07-23,13 17 19 40 69,17,3
2021-07-20,10 26 30 52 57,10,2
2021-07-16,24 25 47 52 57,24,4
2021-07-13,03 10 17 26 55,24,2
2021-07-09,06 37 39 41 46,17,2
2021-07-06,18 47 63 68 69,14,3
2021-07-02,08 31 32 34 45,19,2
2021-06-29,07 38 50 52 69,21,3
2021-06-25,17 20 42 45 65,12,4
2021-06-22,01 26 48 51 59,25,4
2021-06-18,14 36 44 46 53,18,2
2021-06-15,18 22 27 38 52,11,4
2021-06-11,04 43 56 63 68,13,4
2021-06-08,09 22 39 41 54,19,3
2021-06-04,04 30 34 41 64,08,3
2021-06-01,07 11 33 58 63,23,2
2021-05-28,10 14 20 47 70,15,2
2021-05-25,14 21 31 34 54,11,3
2021-05-21,06 09 17 18 48,08,3
2021-05-18,03 05 56 61 66,04,2
2021-05-14,03 18 41 44 68,03,2
2021-05-11,07 08 20 36 39,22,3
2021-05-07,05 10 19 21 50,10,4
2021-05-04,04 27 32 57 63,22,3
2021-04-30,08 19 26 48 49,05,3
2021-04-27,15 22 30 41 42,25,4
2021-04-23,04 28 29 30 60,25,3
2021-04-20,06 23 43 49 52,05,3
2021-04-16,17 27 28 50 55,25,4
2021-04-13,10 15 19 45 68,09,4
2021-04-09,22 26 27 58 66,12,2
2021-04-06,01 19 20 32 42,17,3
2021-04-02,10 42 48 53 62,19,2
