Draw Date,Winning Numbers,Mega Ball,Multiplier
2022-04-29,09 11 34 49 66,15,2
2022-04-26,05 07 19 46 69,02,4
2022-04-22,07 28 29 58 59,10,3
2022-04-19,02 09 33 47 53,24,3
2022-04-15,04 17 20 46 64,23,4
2022-04-12,02 08 14 20 31,17,2
2022-04-08,08 11 29 32 40,02,3
2022-04-05,22 43 60 63 64,18,2
2022-04-01,26 42 47 48 63,21,5
2022-03-29,07 22 36 45 47,12,2
2022-03-25,03 13 42 51 58,17,2
2022-03-22,08 15 21 27 61,08,3
2022-03-18,02 06 25 40 45,05,4
2022-03-15,09 14 28 59 60,24,5
2022-03-11,24 28 39 44 66,25,3
2022-03-08,07 18 38 58 64,24,3
2022-03-04,11 19 28 46 47,05,4
2022-03-01,18 22 38 39 50,18,2
2022-02-25,15 31 40 56 66,04,3
2022-02-22,06 17 22 57 62,03,3
2022-02-18,06 11 50 63 68,17,4
2022-02-15,02 04 15 21 63,19,3
2022-02-11,11 16 23 24 30,24,3
2022-02-08,01 17 20 52 54,02,3
2022-02-04,07 16 34 44 61,24,4
2022-02-01,11 24 38 62 66,01,4
2022-01-28,03 16 25 44 55,13,3
2022-01-25,03 12 38 53 58,13,3
2022-01-21,38 45 46 55 67,18,2
2022-01-18,04 19 39 42 52,09,4
2022-01-14,05 08 13 22 48,25,2
2022-01-11,02 03 19 52 58,16,2
2022-01-07,07 29 43 56 57,06,3
2022-01-04,04 06 16 21 22,01,3
2021-12-31,02 05 30 46 61,08,3
2021-12-28,03 05 08 31 38,04,3
2021-12-24,16 17 25 36 37,16,2
2021-12-21,25 31 58 64 67,24,3
2021-12-17,21 32 38 48 62,10,3
2021-12-14,33 35 44 55 69,20,3
2021-12-10,23 25 40 42 60,08,2
2021-12-07,01 07 40 43 68,01,2
2021-12-03,22 45 48 58 61,13,5
2021-11-30,07 08 26 30 39,17,2
2021-11-26,07 27 37 42 59,02,2
2021-11-23,07 24 54 57 58,06,3
2021-11-19,05 23 52 53 59,18,5
2021-11-16,06 22 44 53 65,03,3
2021-11-12,30 32 42 46 48,15,2
2021-11-09,09 14 16 26 49,14,3
2021-11-05,10 15 20 66 68,18,2
2021-11-02,05 10 26 58 65,09,2
2021-10-29,15 26 28 35 45,04,3
2021-10-26,06 14 19 56 62,09,4
2021-10-22,09 14 26 29 66,22,3
2021-10-19,03 12 13 19 52,01,3
2021-10-15,03 20 31 34 65,18,3
2021-10-12,21 26 56 61 65,04,3
2021-10-08,21 24 36 40 70,22,5
2021-10-05,07 11 18 30 36,04,3
2021-10-01,21 25 36 62 63,06,2
2021-09-28,18 30 43 68 69,22,4
2021-09-24,17 21 27 43 56,15,3
2021-09-21,36 41 45 51 56,13,3
2021-09-17,17 32 40 59 61,18,3
2021-09-14,04 13 19 63 64,16,2
2021-09-10,20 32 35 47 64,18,2
2021-09-07,15 17 25 32 53,12,3
2021-09-03,07 10 12 61 65,03,2
2021-08-31,08 14 31 58 68,15,3
2021-08-27,01 10 44 47 56,23,3
2021-08-24,17 18 26 52 67,19,2
2021-08-20,41 43 51 57 70,01,2
2021-08-17,03 06 16 38 56,24,3
2021-08-13,17 21 35 40 53,11,2
2021-08-10,29 45 50 59 62,12,2
2021-08-06,09 18 40 46 69,09,2
2021-08-03,01 09 17 27 34,24,2
2021-07-30,19 26 31 52 68,10,3
2021-07-27,02 35 36 54 64,11,3
2021-07-23,13 17 19 40 69,17,3
2021-07-20,10 26 30 52 57,10,2
2021-07-16,24 25 47 52 57,24,4
2021-07-13,03 10 17 26 55,24,2
2021-07-09,06 37 39 41 46,17,2
2021-07-06,18 47 63 68 69,14,3
2021-07-02,08 31 32 34 45,19,2
2021-06-29,07 38 50 52 69,21,3
2021-06-25,17 20 42 45 65,12,4
2021-06-22,01 26 48 51 59,25,4
2021-06-18,14 36 44 46 53,18,2
2021-06-15,18 22 27 38 52,11,4
2021-06-11,04 43 56 63 68,13,4
2021-06-08,09 22 39 41 54,19,3
2021-06-04,04 30 34 41 64,08,3
2021-06-01,07 11 33 58 63,23,2
2021-05-28,10 14 20 47 70,15,2
2021-05-25,14 21 31 34 54,11,3
2021-05-21,06 09 17 18 48,08,3
2021-05-18,03 05 56 61 66,04,2
2021-05-14,03 18 41 44 68,03,2
2021-05-11,07 08 20 36 39,22,3
2021-05-07,05 10 19 21 50,10,4
2021-05-04,04 27 32 57 63,22,3
2021-04-30,08 19 26 48 49,05,3
2021-04-27,15 22 30 41 42,25,4
2021-04-23,04 28 29 30 60,25,3
2021-04-20,06 23 43 49 52,05,3
2021-04-16,17 27 28 50 55,25,4
2021-04-13,10 15 19 45 68,09,4
2021-04-09,22 26 27 58 66,12,2
2021-04-06,01 19 20 32 42,17,3
2021-04-02,10 42 48 53 62,19,2
2021-03-30,11 37 47 53 56,15,3
2021-03-26,04 25 37 46 67,15,3
2021-03-23,12 23 35 38 55,11,2
2021-03-19,09 14 40 58 69,08,3
2021-03-16,10 41 46 52 69,08,2
2021-03-12,02 24 25 31 65,18,4
2021-03-09,04 33 46 58 65,13,2
2021-03-05,10 11 17 27 54,20,2
2021-03-02,04 08 13 34 64,18,2
2021-02-26,11 15 37 62 64,05,2
2021-02-23,05 07 09 20 57,15,3
2021-02-19,27 32 47 50 53,04,4
2021-02-16,01 36 44 54 66,10,3
2021-02-12,05 14 24 25 27,14,3
2021-02-09,07 18 21 31 40,09,4
2021-02-05,14 17 28 29 44,02,4
2021-02-02,13 37 38 40 67,10,2
2021-01-29,04 44 58 59 70,03,3
2021-01-26,29 49 56 66 67,24,3
2021-01-22,04 26 42 50 60,24,2
2021-01-19,10 19 26 28 50,16,2
2021-01-15,03 11 12 38 43,15,4
2021-01-12,12 14 26 28 33,09,2
2021-01-08,03 06 16 18 58,11,2
2021-01-05,20 43 51 55 57,04,2
2021-01-01,08 24 53 68 69,07,5
2020-12-29,01 31 35 48 62,19,3
2020-12-25,17 23 36 69 70,19,2
2020-12-22,29 53 56 59 67,21,2
2020-12-18,07 15 25 51 60,05,3
2020-12-15,01 10 18 20 46,15,2
2020-12-11,19 31 37 55 67,25,4
2020-12-08,15 19 33 39 68,25,3
2020-12-04,03 19 24 44 50,08,3
2020-12-01,07 33 53 61 65,14,2
2020-11-27,04 10 27 35 58,10,2
2020-11-24,09 15 34 61 64,06,2
2020-11-20,26 33 45 61 68,17,3
2020-11-17,08 13 35 46 68,16,3
2020-11-13,06 07 14 28 59,07,2
2020-11-10,23 45 53 58 62,13,5
2020-11-06,18 24 27 34 60,02,2
2020-11-03,07 31 44 45 55,19,3
2020-10-30,14 19 34 39 59,11,2
2020-10-27,06 13 34 46 62,01,3
2020-10-23,18 34 44 60 69,22,2
2020-10-20,46 54 57 58 66,10,3
2020-10-16,27 32 50 52 57,12,5
2020-10-13,11 44 45 46 70,25,2
2020-10-09,05 11 25 27 64,13,2
2020-10-06,15 16 18 39 59,17,3
2020-10-02,09 38 47 49 68,25,2
2020-09-29,14 39 43 44 67,19,3
2020-09-25,20 36 37 48 67,16,2
2020-09-22,36 43 44 55 68,12,4
2020-09-18,26 29 41 52 64,11,3
2020-09-15,25 28 38 59 62,22,4
2020-09-11,03 15 42 48 56,13,2
2020-09-08,07 10 15 31 57,21,2
2020-09-04,19 22 24 28 53,25,3
2020-09-01,15 25 26 38 47,22,4
2020-08-28,03 09 50 53 64,01,3
2020-08-25,08 10 15 17 57,12,3
2020-08-21,11 15 31 42 63,14,2
2020-08-18,04 18 26 27 58,23,4
2020-08-14,03 24 29 42 47,13,2
2020-08-11,08 22 29 43 56,09,4
2020-08-07,04 44 53 64 70,03,2
2020-08-04,02 22 30 42 62,20,3
2020-07-31,12 35 46 48 69,23,2
2020-07-28,17 20 27 31 34,19,4
2020-07-24,08 33 39 54 58,17,3
2020-07-21,14 25 26 41 43,15,3
2020-07-17,12 13 21 46 57,21,3
2020-07-14,06 26 55 56 64,22,4
2020-07-10,10 15 20 49 53,22,5
2020-07-07,16 20 25 30 43,18,3
2020-07-03,20 40 44 45 50,24,2
2020-06-30,09 16 29 37 53,11,2
2020-06-26,19 33 37 56 57,06,2
2020-06-23,06 20 37 40 48,15,3
2020-06-19,11 34 36 52 66,07,2
2020-06-16,21 23 33 35 42,06,3
2020-06-12,09 14 57 67 70,02,3
2020-06-09,01 05 09 10 23,22,2
2020-06-05,32 35 37 47 55,22,3
2020-06-02,09 20 23 26 29,08,3
2020-05-29,10 13 32 41 51,03,2
2020-05-26,34 52 58 59 62,04,3
2020-05-22,08 10 20 44 46,18,4
2020-05-19,08 19 25 36 66,09,2
2020-05-15,11 17 32 33 46,25,3
2020-05-12,07 16 27 44 52,05,5
2020-05-08,05 20 22 61 70,04,2
2020-05-05,07 13 17 21 45,14,2
2020-05-01,28 30 31 35 66,14,2
2020-04-28,13 19 53 54 63,17,3
2020-04-24,01 27 32 60 67,18,2
2020-04-21,13 15 24 67 70,17,2
2020-04-17,13 35 39 46 55,14,4
2020-04-14,29 47 65 69 70,07,4
2020-04-10,02 11 21 57 60,13,2
2020-04-07,25 33 43 51 68,20,2
2020-04-03,24 38 44 57 58,17,4
2020-03-31,08 17 51 57 70,02,4
2020-03-27,03 25 28 50 60,01,4
2020-03-24,02 08 16 18 31,14,2
2020-03-20,34 35 41 45 54,05,4
2020-03-17,20 27 28 58 59,25,3
2020-03-13,07 22 37 43 44,22,4
2020-03-10,06 17 48 54 69,12,5
2020-03-06,15 48 56 58 70,04,4
2020-03-03,08 12 33 56 64,02,2
2020-02-28,02 03 14 41 64,17,2
2020-02-25,02 09 43 49 63,15,2
2020-02-21,04 07 13 16 60,06,4
2020-02-18,06 12 39 61 70,04,3
2020-02-14,10 32 48 54 55,18,5
2020-02-11,04 06 32 52 64,06,2
2020-02-07,09 14 27 36 52,04,3
2020-02-04,32 48 50 51 64,10,2
2020-01-31,28 31 33 57 62,19,2
2020-01-28,17 36 47 51 62,21,3
2020-01-24,03 04 18 23 38,24,4
2020-01-21,16 18 29 31 37,08,3
2020-01-17,03 25 30 54 70,09,3
2020-01-14,09 11 13 31 47,11,2
2020-01-10,17 27 49 51 66,02,2
2020-01-07,25 40 41 52 56,21,4
2020-01-03,37 41 42 53 63,16,2
2019-12-31,30 44 49 53 56,11,3
2019-12-27,17 34 40 63 64,24,4
2019-12-24,27 37 48 63 66,11,2
2019-12-20,03 20 23 35 60,16,3
2019-12-17,22 30 53 55 56,16,2
2019-12-13,17 21 29 39 56,22,3
2019-12-10,18 31 46 54 61,25,2
2019-12-06,20 31 40 46 61,20,5
2019-12-03,23 43 60 63 69,19,2
2019-11-29,06 08 31 50 65,09,2
2019-11-26,08 27 29 38 43,13,2
2019-11-22,07 12 17 49 53,24,4
2019-11-19,22 43 44 47 66,22,3
2019-11-15,12 19 34 35 68,20,2
2019-11-12,19 30 44 56 65,24,2
2019-11-08,03 04 10 39 58,14,3
2019-11-05,02 09 24 49 54,19,3
2019-11-01,09 20 36 41 54,22,2
2019-10-29,04 09 17 27 39,22,2
2019-10-25,16 24 25 52 60,06,3
2019-10-22,05 11 14 23 25,10,4
2019-10-18,18 58 60 65 67,20,3
2019-10-15,04 12 14 35 70,02,2
2019-10-11,14 22 30 37 60,08,3
2019-10-08,05 08 10 17 48,23,3
2019-10-04,11 38 44 48 70,17,2
2019-10-01,10 17 39 42 59,03,2
2019-09-27,12 20 31 43 45,20,3
2019-09-24,06 14 24 42 46,09,4
2019-09-20,23 24 42 48 53,22,2
2019-09-17,12 15 30 50 65,01,4
2019-09-13,06 16 37 59 62,05,2
2019-09-10,34 47 48 50 55,24,2
2019-09-06,04 11 13 19 31,10,4
2019-09-03,13 20 27 61 62,05,2
2019-08-30,03 09 11 34 39,10,4
2019-08-27,08 12 23 39 43,06,2
